brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,price_usd,mileage_mi,clean_title_flag,accident_reported,model_year_numeric,car_age,scaled_mileage,fuel_type_encoded
Porsche,Panamera 4S,2017,"42,596 mi.",Gasoline,440.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$78,000",78000,42596,True,False,2017,9.0,42.596,0.0
Ford,Explorer XLT,2021,"33,705 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Light Slate,At least 1 accident or damage reported,Yes,"$36,995",36995,33705,True,True,2021,5.0,33.705,0.0
Land Rover,Rover LR4 HSE LUX Landmark Edition,2016,"63,300 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,"$31,000",31000,63300,True,False,2016,10.0,63.3,0.0
Acura,TLX Type S w/Performance Tire,2023,"4,700 mi.",Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,None reported,Yes,"$52,000",52000,4700,True,False,2023,3.0,4.7,0.0
Toyota,Tacoma Base,2020,"27,256 mi.",Gasoline,3.5 Liter,6 Speed At/Mt,Midnight Black Metallic,Black/Gun Metal,None reported,,"$42,998",42998,27256,,False,2020,6.0,27.256,0.0
Hummer,H3 Base,2010,"107,481 mi.",Gasoline,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$13,500",13500,107481,True,False,2010,16.0,107.481,0.0
Tesla,Model 3 Long Range,2018,"61,700 mi.",,271.0HP Electric Motor Electric Fuel System,A/T,White,Black,None reported,Yes,"$25,900",25900,61700,True,False,2018,8.0,61.7,
Volvo,850 Turbo,1995,"94,000 mi.",,,A/T,White,Black,None reported,Yes,"$4,500",4500,94000,True,False,1995,31.0,94.0,
Jeep,Wrangler Unlimited Sahara,2017,"128,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,"$26,800",26800,128000,True,False,2017,9.0,128.0,0.0
Chevrolet,Camaro 2SS,2018,"26,000 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$39,000",39000,26000,True,False,2018,8.0,26.0,0.0
Audi,S6 4.0T,2015,"74,000 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Gray,None reported,Yes,"$29,950",29950,74000,True,False,2015,11.0,74.0,0.0
Audi,TT RS Base,2012,"54,900 mi.",Gasoline,360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Brown,,,"$28,900",28900,54900,,,2012,14.0,54.9,0.0
INFINITI,QX56 Base,2012,"141,775 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"$11,500",11500,141775,True,False,2012,14.0,141.775,0.0
Volkswagen,New Beetle GLS,2001,"63,250 mi.",Gasoline,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Yellow,Yellow,None reported,Yes,"$12,000",12000,63250,True,False,2001,25.0,63.25,0.0
Audi,Q5 S line Premium Plus,2022,"13,895 mi.",Hybrid,2.0 Liter TFSI,Automatic,Daytona Gray,Black,None reported,,"$44,998",44998,13895,,False,2022,4.0,13.895,
Lamborghini,Aventador LP750-4 Superveloce,2017,"10,654 mi.",Gasoline,"6.5L V-12 DOHC, variable valve control, premium unleaded, engine",Automatic,Balloon White,Nero Ade,None reported,,"$449,991",449991,10654,,False,2017,9.0,10.654,0.0
Ford,F-250 XL,2014,"35,900 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Blue,Gray,At least 1 accident or damage reported,Yes,"$27,900",27900,35900,True,True,2014,12.0,35.9,
GMC,Yukon XL Denali,2022,"48,306 mi.",Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,"$71,999",71999,48306,True,True,2022,4.0,48.306,0.0
Audi,A4 2.0T Premium,2012,"125,000 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$10,500",10500,125000,True,False,2012,14.0,125.0,0.0
Dodge,Challenger SRT 392,2016,"37,700 mi.",,,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$38,000",38000,37700,True,True,2016,10.0,37.7,
Tesla,Model S P100D,2017,"103,000 mi.",,Electric Motor Electric Fuel System,1-Speed A/T,Black,White,None reported,Yes,"$36,000",36000,103000,True,False,2017,9.0,103.0,
Mazda,CX-30 Premium Package,2021,"45,303 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Snowflake White Pearl,White / Brown,None reported,,"$25,382",25382,45303,,False,2021,5.0,45.303,0.0
Lexus,ES 350 Base,2016,"53,900 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,"$27,500",27500,53900,True,False,2016,10.0,53.9,0.0
Jeep,Wrangler Sahara,2008,"54,000 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Gray,None reported,Yes,"$20,000",20000,54000,True,False,2008,18.0,54.0,0.0
Chevrolet,Avalanche 1500 LTZ,2007,"129,000 mi.",Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$17,950",17950,129000,True,False,2007,19.0,129.0,0.0
Jeep,Grand Cherokee L Laredo,2022,"10,232 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Global Black,None reported,Yes,"$44,646",44646,10232,True,False,2022,4.0,10.232,0.0
Acura,MDX w/Advance Package,2023,"3,708 mi.",Gasoline,3.5 Liter SOHC,Automatic,White,Espresso,None reported,,"$58,998",58998,3708,,False,2023,3.0,3.708,0.0
Nissan,Pathfinder SL,2018,"167,000 mi.",Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,,,"$14,500",14500,167000,,,2018,8.0,167.0,0.0
Tesla,Model X Long Range,2019,"37,000 mi.",,518.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,"$58,000",58000,37000,True,False,2019,7.0,37.0,
Subaru,Impreza Premium,2022,"10,419 mi.",Gasoline,"2L H-4 gasoline direct injection, DOHC, variable valve control,",Variable,Crystal White Pearl,Black,At least 1 accident or damage reported,,"$24,998",24998,10419,,True,2022,4.0,10.419,0.0
Audi,A8 4.0T,2014,"96,238 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$22,500",22500,96238,True,True,2014,12.0,96.238,0.0
Subaru,Ascent Limited 7-Passenger,2022,"12,700 mi.",Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Beige,None reported,Yes,"$38,500",38500,12700,True,False,2022,4.0,12.7,0.0
Chevrolet,Avalanche 1500 LT,2007,"244,000 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Gray,None reported,Yes,"$16,900",16900,244000,True,False,2007,19.0,244.0,
Porsche,Cayenne S,2015,"124,000 mi.",Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,"$25,000",25000,124000,True,False,2015,11.0,124.0,0.0
BMW,335 i,2009,"123,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Purple,Black,None reported,Yes,"$15,000",15000,123000,True,False,2009,17.0,123.0,0.0
GMC,Sierra 1500 Limited Elevation,2022,"24,900 mi.",Gasoline,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$49,900",49900,24900,True,False,2022,4.0,24.9,0.0
Ford,Explorer Sport,2016,"95,500 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$20,000",20000,95500,True,False,2016,10.0,95.5,0.0
Cadillac,Escalade ESV Sport,2021,"4,283 mi.",Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Black,Brandy,None reported,Yes,"$479,995",479995,4283,True,False,2021,5.0,4.283,0.0
Lexus,LX 570 Three-Row,2021,"48,300 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,"$82,000",82000,48300,True,False,2021,5.0,48.3,0.0
BMW,M3 Base,2008,"94,000 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Red,None reported,Yes,"$25,999",25999,94000,True,False,2008,18.0,94.0,0.0
Nissan,Xterra Pro-4X,2011,"183,000 mi.",Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,"$12,000",12000,183000,True,True,2011,15.0,183.0,0.0
Ford,Fusion Hybrid SE Hybrid,2013,"126,225 mi.",Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Silver,Black,At least 1 accident or damage reported,Yes,"$11,500",11500,126225,True,True,2013,13.0,126.225,
Volkswagen,Golf GTI 2.0T SE 4-Door,2016,"87,892 mi.",Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$16,000",16000,87892,True,False,2016,10.0,87.892,0.0
Cadillac,CTS-V Base,2012,"45,000 mi.",Gasoline,556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,None reported,Yes,"$41,500",41500,45000,True,False,2012,14.0,45.0,0.0
Aston Martin,Martin Vantage Base,2022,"1,023 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Brown,None reported,Yes,"$156,900",156900,1023,True,False,2022,4.0,1.023,0.0
Lexus,GX 460 Base,2015,"106,000 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,"$37,500",37500,106000,True,False,2015,11.0,106.0,0.0
GMC,Acadia SLT-1,2019,"51,300 mi.",Gasoline,193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$25,500",25500,51300,True,True,2019,7.0,51.3,0.0
Ford,Bronco Sport Big Bend,2021,"30,176 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Black,Medium Dark Slate,None reported,Yes,"$28,979",28979,30176,True,False,2021,5.0,30.176,0.0
Nissan,Titan SV,2021,"27,598 mi.",Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,Black,None reported,,"$39,884",39884,27598,,False,2021,5.0,27.598,0.0
Volkswagen,Jetta SportWagen SE,2012,"107,000 mi.",Gasoline,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,"$9,499",9499,107000,True,False,2012,14.0,107.0,0.0
Land Rover,Rover Range Rover 5.0L V8 Supercharged,2019,"17,500 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$65,000",65000,17500,True,False,2019,7.0,17.5,0.0
RAM,2500 Laramie,2017,"117,878 mi.",Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,"$42,000",42000,117878,True,False,2017,9.0,117.878,1.0
Nissan,Murano SL,2010,"138,700 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,At least 1 accident or damage reported,Yes,"$7,000",7000,138700,True,True,2010,16.0,138.7,0.0
Cadillac,Escalade ESV Base,2009,"152,068 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$12,350",12350,152068,True,True,2009,17.0,152.068,
BMW,428 i xDrive SULEV,2016,"77,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,"$26,999",26999,77000,True,True,2016,10.0,77.0,0.0
Ford,Focus RS Base,2017,"26,000 mi.",Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$37,000",37000,26000,True,False,2017,9.0,26.0,0.0
Lexus,CT 200h Premium,2014,"131,200 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Brown,Brown,None reported,Yes,"$14,000",14000,131200,True,False,2014,12.0,131.2,
Buick,Enclave Leather,2017,"83,280 mi.",Gasoline,3.6L V6 24V GDI DOHC,6-Speed Automatic,Quicksilver Metallic,Ebony,None reported,,"$20,599",20599,83280,,False,2017,9.0,83.28,0.0
BMW,M3 Base,2015,"59,000 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,"$53,500",53500,59000,True,False,2015,11.0,59.0,0.0
Volkswagen,Arteon 2.0T SEL R-Line,2020,"15,500 mi.",Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$30,000",30000,15500,True,False,2020,6.0,15.5,0.0
BMW,X6 xDrive35i,2013,"90,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,"$19,950",19950,90000,True,False,2013,13.0,90.0,0.0
INFINITI,G35 Base,2006,"94,000 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,At least 1 accident or damage reported,Yes,"$10,995",10995,94000,True,True,2006,20.0,94.0,0.0
Hummer,H2 Base,2008,"63,750 mi.",Gasoline,393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$55,000",55000,63750,True,True,2008,18.0,63.75,0.0
Mercedes-Benz,C-Class C 300 4MATIC Luxury,2011,"95,500 mi.",Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$15,990",15990,95500,True,True,2011,15.0,95.5,0.0
Acura,ILX Premium Package,2019,"37,900 mi.",Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$26,000",26000,37900,True,False,2019,7.0,37.9,0.0
Porsche,911 GT3,2015,"13,250 mi.",Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Gray,None reported,Yes,"$154,900",154900,13250,True,False,2015,11.0,13.25,0.0
RAM,1500 Longhorn,2019,"76,249 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Mountain Brown,At least 1 accident or damage reported,,"$40,995",40995,76249,,True,2019,7.0,76.249,0.0
BMW,M3 Base,2001,"81,000 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,None reported,Yes,"$39,000",39000,81000,True,False,2001,25.0,81.0,0.0
Chevrolet,Suburban LT,2022,"37,806 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"$60,894",60894,37806,True,False,2022,4.0,37.806,0.0
Dodge,Ram 2500 ST,2010,"151,544 mi.",Gasoline,355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Brown,Gray,At least 1 accident or damage reported,Yes,"$17,700",17700,151544,True,True,2010,16.0,151.544,0.0
Chevrolet,Camaro 2SS,2012,"60,345 mi.",Gasoline,400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Yellow,Black,None reported,Yes,"$26,950",26950,60345,True,False,2012,14.0,60.345,0.0
Dodge,Challenger SE,2010,"90,305 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$12,000",12000,90305,True,False,2010,16.0,90.305,0.0
Jeep,Grand Cherokee L Limited,2022,"13,275 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,,"$42,599",42599,13275,,False,2022,4.0,13.275,0.0
Chevrolet,Camaro 2SS,2018,"8,660 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$45,000",45000,8660,True,False,2018,8.0,8.66,0.0
Ford,F-350 Lariat,2021,"28,220 mi.",Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Silver,Black,None reported,Yes,"$73,600",73600,28220,True,False,2021,5.0,28.22,1.0
Ford,F-250 King Ranch,2015,"97,700 mi.",Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,,None reported,Yes,"$39,950",39950,97700,True,False,2015,11.0,97.7,1.0
Chevrolet,Corvette Stingray w/3LT,2023,"4,200 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$98,000",98000,4200,True,False,2023,3.0,4.2,0.0
Bentley,Continental GT V8 First Edition,2020,"27,404 mi.",Gasoline,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,Dark Sapphire,Linen,None reported,,"$199,991",199991,27404,,False,2020,6.0,27.404,0.0
Lincoln,MKC Reserve,2016,"100,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,White,None reported,Yes,"$24,000",24000,100000,True,False,2016,10.0,100.0,0.0
Ford,Excursion Limited,2001,"333,361 mi.",Diesel,250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$17,000",17000,333361,True,True,2001,25.0,333.361,1.0
Land Rover,Rover Discovery SE,2018,"63,295 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,None reported,Yes,"$29,993",29993,63295,True,False,2018,8.0,63.295,0.0
Land Rover,Rover Defender V8,2022,"3,000 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$96,500",96500,3000,True,False,2022,4.0,3.0,0.0
Chevrolet,Silverado 1500 2LT,2014,"102,604 mi.",E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,Yes,"$25,500",25500,102604,True,False,2014,12.0,102.604,
Mercedes-Benz,AMG G 63 Base,2017,"39,800 mi.",Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Red,None reported,Yes,"$99,000",99000,39800,True,False,2017,9.0,39.8,0.0
Ford,F-250 XLT,2019,"124,000 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,None reported,Yes,"$40,100",40100,124000,True,False,2019,7.0,124.0,
Tesla,Model 3 Base,2022,"12,080 mi.",,271.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$36,750",36750,12080,True,False,2022,4.0,12.08,
Lexus,LX 570 Three-Row,2018,"39,300 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$69,500",69500,39300,True,False,2018,8.0,39.3,0.0
INFINITI,QX60 Luxe,2019,"51,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,,At least 1 accident or damage reported,Yes,"$29,000",29000,51000,True,True,2019,7.0,51.0,0.0
Rivian,R1S Adventure Package,2023,250 mi.,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Green,Black,,,"$97,500",97500,250,,,2023,3.0,0.25,
Land Rover,Rover Range Rover Sport 3.0L Supercharged HSE,2017,"67,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Beige,None reported,Yes,"$35,999",35999,67000,True,False,2017,9.0,67.0,0.0
INFINITI,QX60 Base,2014,"95,400 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,,,"$14,195",14195,95400,,,2014,12.0,95.4,0.0
Hyundai,Sonata GLS,2013,"136,991 mi.",Gasoline,198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,"$11,000",11000,136991,True,False,2013,13.0,136.991,0.0
Toyota,Tundra Limited,2022,"3,959 mi.",Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Gray,None reported,Yes,"$55,000",55000,3959,True,False,2022,4.0,3.959,0.0
Jeep,Grand Cherokee Limited,2020,"47,500 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Purple,Black,None reported,Yes,"$31,000",31000,47500,True,False,2020,6.0,47.5,0.0
Ford,F-350 Lariat Crew Cab Super Duty DRW,2005,"176,691 mi.",Diesel,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$13,000",13000,176691,True,True,2005,21.0,176.691,1.0
Tesla,Model 3 Performance,2021,"33,000 mi.",,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,White,None reported,Yes,"$55,000",55000,33000,True,False,2021,5.0,33.0,
Mercedes-Benz,CLS-Class CLS 550,2014,"34,600 mi.",Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$27,500",27500,34600,True,False,2014,12.0,34.6,0.0
RAM,2500 SLT,2014,"84,500 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$34,000",34000,84500,True,False,2014,12.0,84.5,0.0
Kia,Sorento Hybrid EX,2022,"36,100 mi.",Hybrid,227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,6-Speed A/T,Black,White,None reported,Yes,"$37,500",37500,36100,True,False,2022,4.0,36.1,
Hyundai,Genesis 3.8,2015,"92,225 mi.",Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$17,000",17000,92225,True,True,2015,11.0,92.225,0.0
Jeep,Compass Latitude,2020,"17,500 mi.",Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,"$25,695",25695,17500,True,False,2020,6.0,17.5,0.0
Ford,Fusion SE,2011,"114,323 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$6,000",6000,114323,True,False,2011,15.0,114.323,0.0
Toyota,FJ Cruiser Base,2014,"92,000 mi.",Gasoline,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,None reported,Yes,"$27,500",27500,92000,True,False,2014,12.0,92.0,0.0
BMW,430 Gran Coupe i xDrive,2018,"29,025 mi.",Gasoline,2.0 Liter DOHC T/C,Automatic,Carbon Black Metallic,Black,None reported,,"$29,998",29998,29025,,False,2018,8.0,29.025,0.0
Dodge,Durango SRT 392,2021,"17,000 mi.",Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,"$65,000",65000,17000,True,False,2021,5.0,17.0,0.0
Hyundai,Santa Fe GLS,2015,"96,476 mi.",Gasoline,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,Yes,"$13,000",13000,96476,True,False,2015,11.0,96.476,0.0
Volkswagen,Atlas 3.6L SEL Premium,2021,"36,311 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,Yes,"$39,127",39127,36311,True,False,2021,5.0,36.311,0.0
Land Rover,Rover Range Rover Sport 5.0L Supercharged Dynamic,2016,"56,842 mi.",Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$35,000",35000,56842,True,False,2016,10.0,56.842,0.0
Nissan,Murano SV,2021,"23,677 mi.",Gasoline,3.5L V6 24V MPFI DOHC,Automatic CVT,Sunset Drift Chromaflair,Graphite,None reported,,"$29,510",29510,23677,,False,2021,5.0,23.677,0.0
Buick,Envision Essence,2020,"27,340 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Summit White,Ebony,None reported,,"$31,700",31700,27340,,False,2020,6.0,27.34,0.0
Chevrolet,Silverado 1500 RST,2020,"26,177 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Shadow Gray Metallic,Jet Black,,,"$41,986",41986,26177,,,2020,6.0,26.177,0.0
Pontiac,Solstice GXP,2009,"122,348 mi.",Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$10,000",10000,122348,True,True,2009,17.0,122.348,0.0
BMW,640 Gran Coupe i xDrive,2015,"98,000 mi.",Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,"$22,500",22500,98000,True,False,2015,11.0,98.0,0.0
Tesla,Model 3 Standard Range Plus,2019,"32,300 mi.",,Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,"$29,000",29000,32300,True,False,2019,7.0,32.3,
MINI,Countryman Cooper S,2019,"18,997 mi.",Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,"$26,750",26750,18997,True,False,2019,7.0,18.997,0.0
Porsche,Boxster GTS,2016,"40,350 mi.",Gasoline,330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,"$67,995",67995,40350,True,False,2016,10.0,40.35,0.0
Ford,Expedition EL King Ranch,2011,"156,856 mi.",E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Brown,None reported,Yes,"$14,300",14300,156856,True,False,2011,15.0,156.856,
Bentley,Continental GT GT Speed,2022,"1,919 mi.",Gasoline,12 Cylinder Engine,8-SPEED A/T,Granite,Porpoise,None reported,,"$289,991",289991,1919,,False,2022,4.0,1.919,0.0
BMW,X5 M Base,2017,"61,773 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,"$46,000",46000,61773,True,False,2017,9.0,61.773,0.0
